686,株式会社ソフトクリエイト,ヘラクレス・スタンダード,3371,,http://www.softcreate.co.jp/,
699,バーチャレクス・コンサルティング株式会社,マザーズ,6193,0.75492063,http://www.virtualex.co.jp/,
702,株式会社アートネイチャー,東証1部,7823,0.97540143,https://www.artnature.co.jp/,
704,株式会社ヤマダ・エスバイエルホーム,東証1部,,,http://www.sxl.co.jp/,
712,オムロン株式会社,東証1部,6645,1.41610738,http://www.omron.co.jp/,
714,株式会社エイベックス・プランニング＆デベロップメント,東証1部,,,http://www.avex.co.jp/,
720,株式会社プラザクリエイト,JASDAQ,7502,1.04403409,http://www.plazacreate.co.jp/,
725,エン・ジャパン株式会社,JASDAQスタンダード,4849,0.87350864,http://corp.en-japan.com/,
726,住友商事株式会社,東証1部,8053,0.90318313,https://www.sumitomocorp.com/ja/jp,
734,グンゼ株式会社,東証1部,3002,,http://www.gunze.co.jp/,
735,楽天証券株式会社,JASDAQ,4755,1.03977118,http://www.rakuten-sec.co.jp/,
757,株式会社リコー,東証1部,7752,0.86432507,http://www.ricoh.co.jp/,
765,オムロン株式会社,東証1部,6645,1.41610738,http://www.omron.co.jp/,
769,豊田通商株式会社,東証1部,8015,1.00644020,http://www.toyota-tsusho.com/index.cfm,
785,株式会社ボルテージ,東証1部,3639,,http://www.voltage.co.jp/,
786,日本電気株式会社,東証1部,6701,1.22589792,http://www.nec.co.jp/,
796,トレイダーズホールディングス株式会社,JASDAQ,8704,1.09750000,http://www.traderssec.com/,
811,エスエス製薬株式会社,東証1部,,,http://www.ssp.co.jp/,
816,ブロードメディア株式会社,JASDAQスタンダード,4347,1.34909091,https://www.broadmedia.co.jp/,
824,横浜ゴム株式会社,東証1部,5101,0.81070202,http://www.yrc.co.jp/,
829,日本フェンオール株式会社,JASDAQスタンダード,6870,0.91143345,http://www.fenwal.co.jp/,
830,凸版印刷株式会社,東証1部,7911,0.95398853,http://www.toppan.co.jp,
834,株式会社　日本航空インターナショナル,東証1部,9201,0.71468771,http://www.jal.co.jp,
842,株式会社デジタルハーツ,マザーズ,3676,,http://www.digitalhearts.co.jp/,
880,東映アニメーション株式会社,JASDAQスタンダード,4816,1.31072718,http://www.toei-anim.co.jp/,
882,株式会社イトクロ,マザーズ,6049,0.58989373,http://www.itokuro.jp/,
884,株式会社コメ兵ホールディングス,東証2部,2780,,http://www.komehyo.co.jp/,
889,株式会社　東京放送（略称TBS）,東証1部,,,http://www.tbs.co.jp/,
896,KLab株式会社,東証1部,3656,,http://www.klab.org/,
897,トレンダーズ株式会社,マザーズ,6069,0.84867760,http://www.trenders.co.jp,
903,カルチュア・コンビニエンス・クラブ株式会社,東証1部,,,http://www.ccc.co.jp/index.html,
904,株式会社ピックルスコーポレーション,東証1部,2925,,https://www.pickles.co.jp,
917,SBIホールディングス株式会社,東証1部,8473,0.97779222,https://www.insweb.co.jp/,
923,ターボリナックス株式会社,ヘラクレス・グロース,,,http://www.turbolinux.co.jp/,
925,株式会社CRI･ミドルウェア,マザーズ,3698,,https://www.cri-mw.co.jp/,
928,株式会社　松屋フーズ,東証1部,9887,1.00658514,http://www.matsuyafoods.co.jp,
